Scenario,Year,ghg,lcspe,fed,esfe,co2elc,ccsfos,nonnrg
nesecfcng,2080,17.97644010413357,0.8316579431792903,396.51668047474743,0.6395613067184774,-4.49476164227567,3.224664655072746,3.6095400000657643
nesecfcng,2090,17.36250381434271,0.8409637343984215,429.10729754104057,0.6475249384809572,-3.614683174945841,3.270480544852561,3.1581000000373045
nesecfcng,2100,15.350664702822488,0.8507317591177916,400.79157508241843,0.655432051857421,-4.373043145273655,3.0567220241261217,2.3463000000873815
nfc,2020,52.19199999981153,0.17999999971087732,394.99115182133534,0.18774936014085888,520.5134113057937,0,17.001593631442955
nfc,2030,35.884258139343565,0.3443281673278147,402.00782045135946,0.15583661315912686,242.48014376860462,0.20278592751788196,10.596920000022486
nfc,2040,27.047931560029465,0.5795741225127925,376.15824478701114,0.1595296456686584,-20.496854784750838,0.5895103802348727,7.196310000057542
nfc,2050,20.70633455873544,0.7437139521589731,378.2469032733397,0.20370994040644477,-188.79128770353776,1.0258715869046853,5.078700000024114
nfc,2060,18.94181808019084,0.8214979170201477,388.43262965345207,0.23216967070949754,-225.61055268822662,1.2834325942191736,4.947029999998928
nfc,2070,17.23592141649048,0.825704402015489,407.5056458044849,0.2563173304974223,-243.7024573048976,1.0649843004609016,4.660919999804697
nfc,2080,18.995941568295788,0.8316579431782197,434.2780522655752,0.24219987816141123,-225.87765812310562,1.0694342386919964,3.6095400000372306
nfc,2090,18.240074737827257,0.8409637343998021,462.964260380515,0.2195884938065574,-207.69725334021203,0.9265204634910345,3.1581000000573547
nfc,2100,14.29235287335514,0.8507317591200889,424.7213880146197,0.22743816205628953,-189.64252447643867,0.6103875269049798,2.346300000101035
nfcng,2020,52.19199999994449,0.1799999994973912,394.9975754990725,0.18774625566186634,521.298282135146,0,16.983558237271883
nfcng,2030,35.891493383998196,0.3443281671073825,402.02774860458476,0.15583308830042947,242.98608051022742,0.20446566703944982,10.596920000021415
nfcng,2040,26.928273963881185,0.5795741224284401,376.4434462487825,0.16017031402156995,-10.406831895808924,1.6665321627999912,7.196309999992995
nfcng,2050,20.783015698410356,0.7437139521293696,380.3263403158408,0.2019530002694937,-167.9907787235444,2.2064853481453937,5.0787000000070215
nfcng,2060,18.891950110236138,0.8214979170089859,390.5808752048591,0.2308481074377432,-212.00323623457535,2.8392190892430094,4.947030000002537
nfcng,2070,16.97481482460384,0.8257044020095728,406.6052173600735,0.25641582517721323,-240.98218312876168,3.3296610601033865,4.660920000010119
nfcng,2080,18.64760344762514,0.831657943173788,433.143909518142,0.2397345289687342,-217.0156152141894,3.2246646527328524,3.609540000016953
nfcng,2090,17.770604131684795,0.8409637343930252,463.0688223583046,0.21798285801332595,-206.73152463867456,3.2704805433841906,3.158100000004663
nfcng,2100,13.863539554859273,0.8507317591051097,426.0961917196574,0.22559696956640932,-196.159671174589,3.056722021157091,2.3463000000241774
nfn,2020,52.19200000013344,0.17999999974641062,395.2720753529225,0.18762472666832644,518.3755455883268,0,17.017409981186656
nfn,2030,36.42402318800321,0.3443281673429868,400.4570142901868,0.15499856566982112,234.32583733600865,0.20245963227786154,11.521790799066004
nfn,2040,26.80738072842552,0.5795741225256291,392.790454007803,0.15632829923500519,16.59518181144711,1.2601548027095903,6.5423438327006735
nfn,2050,18.614119394458058,0.7437139521625397,409.26041852001975,0.17665068838644818,-149.84439236342445,1.972347783027848,3.2793285442214506
nfn,2060,14.9057648441724,0.8214979170211861,447.2847301731689,0.1812162672667541,-183.0576097862622,2.102662704240327,1.811662551401231
nfn,2070,14.46482886679048,0.8257044020175558,505.5835227627762,0.18004560303905862,-174.77664018075365,2.0769783275918767,1.0334076280994704
nfn,2080,15.920644042742017,0.8316579431811049,543.7985586456,0.17494267706450392,-163.46398073186288,1.8045188007360102,-0.026461152374250226
nfn,2090,15.222449759364013,0.8409637344057703,570.4872165778596,0.16502410469835102,-151.17256892278147,1.3060554793236534,-0.27268244080214643
